Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),RNA yield (uM),RNA St Dev (uM)
ph,2,50,7.4,0.8,0.8,0.8,0.8,0,4,0,40,1,1,231,246,189,202,1.00E-09,0,0
ph,2,100,7.4,0.8,0.8,0.8,0.8,0,4,0,40,1,1,231,246,189,202,1.00E-09,0,0
ph,2,200,7.4,0.8,0.8,0.8,0.8,0,4,0,40,1,1,231,246,189,202,1.00E-09,0,0
ph,2,400,7.4,0.8,0.8,0.8,0.8,0,4,0,40,1,1,231,246,189,202,1.00E-09,0,0
ph,2,800,7.4,0.8,0.8,0.8,0.8,0,4,0,40,1,1,231,246,189,202,1.00E-09,0,0
ph,2,100,7.4,0.4,0.4,0.4,0.4,0,4,0,40,1,1,231,246,189,202,1.00E-09,0,0
ph,2,100,7.4,0.8,0.8,0.8,0.8,0,4,0,40,1,1,231,246,189,202,1.00E-09,0,0
ph,2,100,7.4,1.6,1.6,1.6,1.6,0,4,0,40,1,1,231,246,189,202,1.00E-09,0,0
ph,2,100,7.4,3.2,3.2,3.2,3.2,0,4,0,40,1,1,231,246,189,202,1.00E-09,0,0
ph,2,100,7.4,4,4,4,4,0,4,0,40,1,1,231,246,189,202,1.00E-09,0,0
ph,2,100,7.4,0.8,0.8,0.8,0.8,0,2,0,40,1,1,231,246,189,202,1.00E-09,0,0
ph,2,100,7.4,0.8,0.8,0.8,0.8,0,4,0,40,1,1,231,246,189,202,1.00E-09,0,0
ph,2,100,7.4,0.8,0.8,0.8,0.8,0,8,0,40,1,1,231,246,189,202,1.00E-09,0,0
ph,2,100,7.4,0.8,0.8,0.8,0.8,0,14,0,40,1,1,231,246,189,202,1.00E-09,0,0
ph,2,100,7.4,0.8,0.8,0.8,0.8,0,20,0,40,1,1,231,246,189,202,1.00E-09,0,0
