Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),RNA yield (uM),RNA St Dev (uM)
total rna,"(0.0, 0.035, 0.0717, 0.108, 0.145, 0.18, 0.217, 0.253, 0.29, 0.325, 0.362, 0.398, 0.435, 0.47, 0.507, 0.543, 0.58, 0.617, 0.653, 0.688, 0.725, 0.762, 0.798, 0.833, 0.87, 0.907, 0.943, 0.98, 1.02, 1.05, 1.09, 1.12, 1.16, 1.2, 1.23, 1.27, 1.31, 1.34, 1.38, 1.41, 1.45, 1.49, 1.52, 1.56, 1.6, 1.63, 1.67, 1.7, 1.73, 1.78, 1.82, 1.85, 1.88, 1.92, 1.97, 2.0, 2.03, 2.07, 2.1, 2.13, 2.18, 2.22, 2.25, 2.28, 2.32, 2.35, 2.4, 2.43, 2.47, 2.5, 2.53, 2.58, 2.62, 2.65, 2.68, 2.72, 2.75, 2.8, 2.83, 2.87, 2.9, 2.93, 2.97, 3.02, 3.05, 3.08, 3.12, 3.15, 3.18)",240,9.448740588,8,8,8,8,4,32,1,40,1,1,531,309,692,588,1.00E-09,"(0.0, 0.0, 0.589, 0.459, 1.14, 1.14, 1.38, 1.94, 2.26, 2.36, 1.9, 3.44, 3.79, 4.01, 4.32, 4.61, 4.32, 5.38, 4.88, 5.01, 5.35, 5.55, 5.44, 6.11, 6.2, 6.42, 6.78, 6.89, 7.23, 7.13, 7.63, 8.0, 8.56, 8.19, 8.31, 8.45, 8.8, 8.62, 8.78, 9.42, 8.77, 9.74, 9.26, 9.15, 9.42, 9.97, 10.3, 10.2, 10.6, 10.6, 10.8, 10.9, 11.0, 10.8, 10.7, 10.8, 11.3, 11.5, 11.4, 11.4, 11.8, 11.4, 10.9, 11.6, 10.8, 11.3, 11.2, 11.8, 11.4, 11.6, 11.6, 11.8, 11.3, 11.2, 11.4, 11.8, 11.3, 11.5, 11.4, 11.7, 11.5, 11.7, 11.6, 12.0, 11.8, 11.8, 11.5, 12.0, 11.7)",0.2
phosphate,"(0.0, 0.035, 0.0717, 0.108, 0.145, 0.18, 0.217, 0.253, 0.29, 0.325, 0.362, 0.398, 0.435, 0.47, 0.507, 0.543, 0.58, 0.617, 0.653, 0.688, 0.725, 0.762, 0.798, 0.833, 0.87, 0.907, 0.943, 0.98, 1.02, 1.05, 1.09, 1.12, 1.16, 1.2, 1.23, 1.27, 1.31, 1.34, 1.38, 1.41, 1.45, 1.49, 1.52, 1.56, 1.6, 1.63, 1.67, 1.7, 1.73, 1.78, 1.82, 1.85, 1.88, 1.92, 1.97, 2.0, 2.03, 2.07, 2.1, 2.13, 2.18, 2.22, 2.25, 2.28, 2.32, 2.35, 2.4, 2.43, 2.47, 2.5, 2.53, 2.58, 2.62, 2.65, 2.68, 2.72, 2.75, 2.8, 2.83, 2.87, 2.9, 2.93, 2.97, 3.02, 3.05, 3.08, 3.12, 3.15, 3.18)",240,9.448740588,8,8,8,8,4,32,1,40,1,1,531,309,692,588,1.00E-09,"(0.0, 0.319, 0.754, 1.15, 1.61, 2.04, 2.48, 2.83, 3.52, 3.68, 4.11, 4.55, 5.04, 5.27, 5.65, 6.2, 6.4, 6.85, 7.21, 7.52, 7.93, 8.2, 8.55, 8.56, 8.95, 9.14, 9.6, 9.71, 9.97, 10.2, 10.2, 10.6, 10.9, 11.1, 11.2, 11.6, 11.6, 11.9, 11.9, 12.1, 12.4, 12.4, 12.6, 12.7, 13.0, 13.1, 13.3, 13.5, 13.7, 13.7, 13.9, 13.9, 14.3, 14.2, 14.3, 14.4, 14.4, 14.5, 14.5, 14.6, 14.7, 14.8, 14.7, 14.8, 14.8, 15.1, 15.0, 15.1, 14.9, 15.1, 14.9, 15.0, 15.1, 15.1, 15.0, 15.2, 15.3, 15.3, 15.0, 15.0, 15.1, 15.1, 15.0, 15.2, 15.1, 15.2, 15.1, 15.1, 15.1)",0.2
total rna,"(0.0, 0.035, 0.0683, 0.103, 0.138, 0.173, 0.208, 0.243, 0.277, 0.312, 0.347, 0.382, 0.417, 0.452, 0.485, 0.52, 0.555, 0.59, 0.625, 0.66, 0.693, 0.728, 0.763, 0.798, 0.833, 0.868, 0.902, 0.937, 0.972, 1.01, 1.04, 1.08, 1.11, 1.15, 1.18, 1.22, 1.25, 1.29, 1.32, 1.35, 1.39, 1.42, 1.46, 1.49, 1.53, 1.56, 1.6, 1.63, 1.67, 1.7, 1.73, 1.77, 1.8, 1.83, 1.88, 1.92, 1.95, 1.98, 2.02, 2.05, 2.08, 2.12, 2.15, 2.18, 2.22, 2.25, 2.3, 2.33, 2.37, 2.4, 2.43, 2.47, 2.5, 2.53, 2.57, 2.6, 2.63, 2.67, 2.72, 2.75, 2.78, 2.82, 2.85, 2.88, 2.92, 2.95, 2.98, 3.02, 3.05, 3.08, 3.13, 3.17, 3.2, 3.23)",240,9.448740588,8,8,8,8,4,32,1,40,1,1,531,309,692,588,1.00E-09,"(0.0, 0.0, 0.609, 0.638, 1.03, 1.11, 1.51, 1.65, 2.59, 2.44, 2.81, 2.95, 3.19, 3.83, 4.06, 4.56, 4.82, 5.14, 4.74, 5.37, 5.48, 6.15, 5.94, 6.17, 6.66, 6.73, 6.96, 7.42, 7.79, 7.95, 6.77, 8.03, 8.0, 8.53, 8.71, 8.67, 8.95, 9.25, 9.1, 9.77, 9.75, 9.78, 10.3, 9.85, 10.2, 10.0, 10.5, 10.2, 10.8, 11.1, 11.2, 10.9, 11.2, 11.2, 11.1, 11.4, 11.2, 11.4, 11.6, 11.3, 11.4, 11.4, 11.9, 11.3, 11.5, 11.1, 11.5, 11.2, 11.2, 11.6, 11.4, 11.6, 11.4, 11.8, 11.4, 11.1, 11.6, 11.6, 11.3, 11.0, 11.3, 11.6, 10.7, 11.2, 11.1, 11.5, 12.0, 11.6, 11.2, 11.1, 11.5, 11.5, 11.1, 11.4)",0.2
phosphate,"(0.0, 0.035, 0.0683, 0.103, 0.138, 0.173, 0.208, 0.243, 0.277, 0.312, 0.347, 0.382, 0.417, 0.452, 0.485, 0.52, 0.555, 0.59, 0.625, 0.66, 0.693, 0.728, 0.763, 0.798, 0.833, 0.868, 0.902, 0.937, 0.972, 1.01, 1.04, 1.08, 1.11, 1.15, 1.18, 1.22, 1.25, 1.29, 1.32, 1.35, 1.39, 1.42, 1.46, 1.49, 1.53, 1.56, 1.6, 1.63, 1.67, 1.7, 1.73, 1.77, 1.8, 1.83, 1.88, 1.92, 1.95, 1.98, 2.02, 2.05, 2.08, 2.12, 2.15, 2.18, 2.22, 2.25, 2.3, 2.33, 2.37, 2.4, 2.43, 2.47, 2.5, 2.53, 2.57, 2.6, 2.63, 2.67, 2.72, 2.75, 2.78, 2.82, 2.85, 2.88, 2.92, 2.95, 2.98, 3.02, 3.05, 3.08, 3.13, 3.17, 3.2, 3.23)",240,9.448740588,8,8,8,8,4,32,1,40,1,1,531,309,692,588,1.00E-09,"(0.0, 0.369, 0.72, 1.11, 1.75, 1.91, 2.51, 3.02, 3.42, 4.06, 4.67, 4.92, 5.22, 5.87, 6.1, 6.57, 6.8, 7.26, 7.54, 8.07, 8.35, 8.69, 8.92, 9.14, 9.39, 9.7, 10.1, 10.4, 10.4, 10.5, 11.1, 11.0, 11.2, 11.6, 11.9, 12.0, 12.3, 12.3, 12.6, 12.7, 13.0, 13.0, 13.3, 13.3, 13.6, 13.8, 13.7, 13.9, 14.0, 14.2, 14.3, 14.5, 14.7, 14.4, 14.8, 14.8, 14.6, 14.8, 15.1, 14.9, 15.0, 15.0, 14.8, 15.3, 15.1, 15.0, 15.2, 15.1, 15.0, 15.1, 15.3, 15.1, 15.2, 15.1, 15.1, 15.0, 15.1, 15.3, 15.1, 15.2, 15.2, 15.0, 15.0, 15.2, 15.0, 15.2, 14.9, 15.2, 15.3, 15.2, 15.1, 15.1, 15.2, 14.9)",0.2
total rna,"(0.0, 0.035, 0.07, 0.105, 0.138, 0.173, 0.208, 0.243, 0.278, 0.313, 0.348, 0.382, 0.417, 0.452, 0.487, 0.522, 0.557, 0.592, 0.627, 0.66, 0.695, 0.73, 0.765, 0.8, 0.835, 0.868, 0.903, 0.938, 0.973, 1.01, 1.04, 1.08, 1.11, 1.15, 1.18, 1.22, 1.25, 1.29, 1.32, 1.36, 1.39, 1.43, 1.46, 1.5, 1.53, 1.56, 1.6, 1.63, 1.67, 1.7, 1.73, 1.77, 1.8, 1.85, 1.88, 1.92, 1.95, 1.98, 2.02, 2.05, 2.08, 2.12, 2.15, 2.18, 2.22, 2.27, 2.3, 2.33, 2.37, 2.4, 2.43, 2.47, 2.5, 2.53, 2.57, 2.6, 2.63, 2.68, 2.72, 2.75, 2.78, 2.82, 2.85, 2.88, 2.92, 2.95, 2.98, 3.02, 3.07, 3.1, 3.13)",240,9.448740588,8,8,8,8,4,32,1,40,1,1,531,309,692,588,1.00E-09,"(0.0, 0.517, 0.99, 0.76, 1.57, 1.46, 2.19, 2.26, 2.78, 2.54, 3.18, 3.31, 3.18, 3.96, 3.75, 4.17, 4.42, 4.52, 4.68, 5.06, 5.27, 5.31, 5.7, 6.12, 6.3, 6.66, 6.73, 7.26, 7.26, 7.65, 7.3, 7.63, 7.88, 7.97, 8.32, 8.57, 8.54, 8.78, 9.03, 8.92, 9.59, 9.37, 9.68, 9.44, 9.81, 9.83, 9.93, 9.97, 10.2, 10.7, 10.5, 10.6, 10.7, 10.8, 10.6, 10.7, 11.5, 11.2, 11.1, 11.0, 11.2, 10.9, 11.5, 11.5, 11.5, 11.2, 11.6, 11.6, 11.5, 11.6, 11.4, 11.5, 11.5, 11.3, 11.6, 11.3, 11.4, 11.7, 11.7, 11.7, 11.4, 11.8, 11.3, 11.8, 11.3, 11.5, 11.7, 11.5, 11.6, 12.0, 11.7)",0.2
phosphate,"(0.0, 0.035, 0.07, 0.105, 0.138, 0.173, 0.208, 0.243, 0.278, 0.313, 0.348, 0.382, 0.417, 0.452, 0.487, 0.522, 0.557, 0.592, 0.627, 0.66, 0.695, 0.73, 0.765, 0.8, 0.835, 0.868, 0.903, 0.938, 0.973, 1.01, 1.04, 1.08, 1.11, 1.15, 1.18, 1.22, 1.25, 1.29, 1.32, 1.36, 1.39, 1.43, 1.46, 1.5, 1.53, 1.56, 1.6, 1.63, 1.67, 1.7, 1.73, 1.77, 1.8, 1.85, 1.88, 1.92, 1.95, 1.98, 2.02, 2.05, 2.08, 2.12, 2.15, 2.18, 2.22, 2.27, 2.3, 2.33, 2.37, 2.4, 2.43, 2.47, 2.5, 2.53, 2.57, 2.6, 2.63, 2.68, 2.72, 2.75, 2.78, 2.82, 2.85, 2.88, 2.92, 2.95, 2.98, 3.02, 3.07, 3.1, 3.13)",240,9.448740588,8,8,8,8,4,32,1,40,1,1,531,309,692,588,1.00E-09,"(0.0, 0.423, 0.766, 1.07, 1.52, 2.05, 2.31, 2.8, 3.31, 3.4, 3.98, 4.33, 4.83, 5.35, 5.62, 6.11, 6.45, 6.37, 7.26, 7.35, 7.67, 8.04, 8.27, 8.59, 8.78, 9.11, 9.39, 9.53, 9.86, 10.2, 10.5, 10.5, 10.9, 11.0, 11.4, 11.4, 11.6, 11.8, 12.0, 12.3, 12.6, 12.8, 12.7, 12.9, 13.1, 13.3, 13.4, 13.4, 13.5, 13.8, 13.9, 14.0, 14.0, 14.1, 14.4, 14.5, 14.6, 14.6, 14.7, 14.8, 14.8, 15.2, 15.1, 15.2, 15.2, 15.0, 15.1, 15.0, 15.1, 15.0, 15.1, 15.1, 15.3, 15.1, 15.3, 15.2, 15.2, 15.2, 15.2, 15.2, 15.3, 15.2, 15.2, 15.2, 15.2, 15.1, 15.1, 15.2, 15.1, 15.3, 15.1)",0.2
total rna,"(0.0, 0.0367, 0.0717, 0.108, 0.143, 0.178, 0.215, 0.25, 0.287, 0.322, 0.357, 0.393, 0.428, 0.463, 0.5, 0.535, 0.57, 0.607, 0.642, 0.678, 0.713, 0.748, 0.785, 0.82, 0.855, 0.892, 0.927, 0.962, 0.998, 1.03, 1.07, 1.11, 1.14, 1.18, 1.21, 1.25, 1.28, 1.32, 1.35, 1.39, 1.43, 1.46, 1.5, 1.53, 1.57, 1.6, 1.64, 1.68, 1.72, 1.75, 1.78, 1.82, 1.85, 1.88, 1.92, 1.97, 2.0, 2.03, 2.07, 2.1, 2.13, 2.17, 2.22, 2.25, 2.28, 2.32, 2.35, 2.38, 2.42, 2.47, 2.5, 2.53, 2.57, 2.6, 2.63, 2.67, 2.7, 2.75, 2.78, 2.82, 2.85, 2.88, 2.92, 2.95, 3.0, 3.03, 3.07, 3.1, 3.13)",240,9.448740588,8,8,8,8,4,32,1,40,1,1,531,309,692,588,1.00E-09,"(0.0, 0.539, 0.703, 0.967, 1.25, 1.7, 1.87, 2.32, 2.69, 2.83, 2.81, 3.2, 3.93, 4.01, 4.55, 4.08, 4.83, 4.47, 5.23, 5.6, 5.27, 5.96, 6.11, 6.23, 6.68, 6.77, 7.43, 7.3, 7.35, 7.5, 7.24, 8.12, 8.55, 8.48, 8.67, 8.77, 9.02, 8.85, 9.39, 9.28, 9.97, 8.94, 9.77, 10.0, 9.57, 10.1, 10.7, 10.3, 10.3, 10.4, 10.5, 10.9, 10.8, 11.2, 10.9, 11.7, 11.3, 11.3, 11.2, 11.6, 11.4, 11.2, 11.1, 11.6, 11.1, 11.5, 11.3, 11.6, 11.4, 11.5, 11.1, 11.5, 11.6, 12.0, 11.2, 11.8, 12.0, 11.6, 11.5, 11.6, 11.4, 11.2, 11.6, 11.1, 11.3, 11.4, 11.7, 11.7, 11.3)",0.2
phosphate,"(0.0, 0.0367, 0.0717, 0.108, 0.143, 0.178, 0.215, 0.25, 0.287, 0.322, 0.357, 0.393, 0.428, 0.463, 0.5, 0.535, 0.57, 0.607, 0.642, 0.678, 0.713, 0.748, 0.785, 0.82, 0.855, 0.892, 0.927, 0.962, 0.998, 1.03, 1.07, 1.11, 1.14, 1.18, 1.21, 1.25, 1.28, 1.32, 1.35, 1.39, 1.43, 1.46, 1.5, 1.53, 1.57, 1.6, 1.64, 1.68, 1.72, 1.75, 1.78, 1.82, 1.85, 1.88, 1.92, 1.97, 2.0, 2.03, 2.07, 2.1, 2.13, 2.17, 2.22, 2.25, 2.28, 2.32, 2.35, 2.38, 2.42, 2.47, 2.5, 2.53, 2.57, 2.6, 2.63, 2.67, 2.7, 2.75, 2.78, 2.82, 2.85, 2.88, 2.92, 2.95, 3.0, 3.03, 3.07, 3.1, 3.13)",240,9.448740588,8,8,8,8,4,32,1,40,1,1,531,309,692,588,1.00E-09,"(0.0, 0.42, 0.913, 1.56, 2.07, 2.57, 2.96, 3.55, 3.94, 4.47, 4.81, 5.19, 5.82, 6.25, 6.45, 6.95, 7.15, 7.35, 7.83, 8.01, 8.42, 8.88, 9.02, 9.41, 9.62, 9.94, 10.2, 10.5, 10.8, 11.0, 11.2, 11.3, 11.6, 11.8, 12.1, 12.2, 12.2, 12.5, 12.8, 12.9, 13.1, 13.1, 13.3, 13.5, 13.7, 13.7, 14.0, 14.1, 13.9, 14.2, 14.3, 14.4, 14.4, 14.7, 14.8, 14.8, 15.1, 15.1, 15.0, 15.1, 15.0, 15.1, 15.0, 15.2, 15.1, 15.0, 15.2, 15.2, 14.9, 15.0, 15.0, 15.1, 15.0, 15.1, 15.0, 15.0, 15.3, 15.2, 15.0, 15.1, 15.1, 15.3, 15.3, 15.2, 15.1, 15.3, 15.2, 15.3, 15.3)",0.2
total rna,"(0.0, 0.0367, 0.0717, 0.107, 0.143, 0.178, 0.215, 0.25, 0.285, 0.322, 0.357, 0.393, 0.428, 0.465, 0.5, 0.535, 0.572, 0.607, 0.642, 0.678, 0.713, 0.748, 0.785, 0.82, 0.857, 0.892, 0.927, 0.963, 0.998, 1.03, 1.07, 1.11, 1.14, 1.18, 1.21, 1.25, 1.28, 1.32, 1.36, 1.39, 1.43, 1.46, 1.5, 1.53, 1.57, 1.6, 1.64, 1.68, 1.72, 1.75, 1.78, 1.82, 1.85, 1.88, 1.92, 1.97, 2.0, 2.03, 2.07, 2.1, 2.13, 2.17, 2.22, 2.25, 2.28, 2.32, 2.35, 2.38, 2.42, 2.47, 2.5, 2.53, 2.57, 2.6, 2.63, 2.67, 2.7, 2.75, 2.78, 2.82, 2.85, 2.88, 2.92, 2.95, 3.0, 3.03, 3.07, 3.1)",240,9.448740588,8,8,8,8,4,32,1,40,1,1,531,309,692,588,1.00E-09,"(0.0, 0.0984, 0.627, 1.1, 1.18, 1.71, 2.05, 2.14, 2.52, 3.2, 3.03, 4.21, 3.88, 4.36, 4.85, 5.01, 5.39, 5.5, 6.03, 6.38, 6.32, 6.64, 6.79, 7.32, 7.47, 7.9, 8.02, 8.04, 8.57, 8.74, 8.71, 9.0, 9.24, 9.34, 9.25, 9.89, 9.78, 10.5, 10.2, 10.2, 10.3, 10.7, 11.0, 10.8, 10.8, 11.1, 11.4, 11.2, 11.3, 12.0, 11.6, 11.6, 11.7, 11.7, 11.8, 12.0, 11.6, 11.6, 11.4, 11.5, 11.9, 11.7, 11.4, 11.4, 11.5, 11.5, 11.6, 12.0, 11.9, 11.8, 12.0, 11.8, 11.9, 11.6, 11.7, 11.9, 11.7, 11.5, 11.9, 11.6, 11.8, 11.5, 11.9, 12.0, 12.0, 11.8, 12.0, 11.6)",0.2
phosphate,"(0.0, 0.0367, 0.0717, 0.107, 0.143, 0.178, 0.215, 0.25, 0.285, 0.322, 0.357, 0.393, 0.428, 0.465, 0.5, 0.535, 0.572, 0.607, 0.642, 0.678, 0.713, 0.748, 0.785, 0.82, 0.857, 0.892, 0.927, 0.963, 0.998, 1.03, 1.07, 1.11, 1.14, 1.18, 1.21, 1.25, 1.28, 1.32, 1.36, 1.39, 1.43, 1.46, 1.5, 1.53, 1.57, 1.6, 1.64, 1.68, 1.72, 1.75, 1.78, 1.82, 1.85, 1.88, 1.92, 1.97, 2.0, 2.03, 2.07, 2.1, 2.13, 2.17, 2.22, 2.25, 2.28, 2.32, 2.35, 2.38, 2.42, 2.47, 2.5, 2.53, 2.57, 2.6, 2.63, 2.67, 2.7, 2.75, 2.78, 2.82, 2.85, 2.88, 2.92, 2.95, 3.0, 3.03, 3.07, 3.1)",240,9.448740588,8,8,8,8,4,32,1,40,1,1,531,309,692,588,1.00E-09,"(0.0, 0.478, 1.21, 1.51, 2.27, 2.76, 3.4, 3.84, 4.38, 4.9, 5.47, 5.82, 6.34, 6.94, 7.17, 7.41, 7.86, 8.39, 8.5, 8.99, 9.41, 9.68, 9.99, 10.3, 10.6, 10.8, 10.9, 11.2, 11.7, 11.7, 12.1, 12.5, 12.6, 12.6, 12.8, 13.4, 13.2, 13.4, 13.5, 13.8, 13.8, 14.1, 14.0, 14.5, 14.4, 14.6, 14.7, 14.7, 14.7, 14.8, 14.8, 14.9, 14.9, 14.9, 14.9, 15.2, 14.9, 14.9, 14.9, 14.9, 14.9, 15.1, 15.0, 15.0, 15.0, 15.0, 14.8, 15.1, 15.0, 15.1, 15.3, 15.2, 15.1, 15.1, 15.0, 15.0, 15.1, 15.1, 14.9, 15.1, 15.0, 14.9, 15.0, 15.1, 15.0, 15.3, 14.9, 15.3)",0.2
