Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),RNA yield (uM),RNA St Dev (uM)
total rna,3,240,19.44215329,8,8,8,8,4,12,1,40,0,0,531,309,692,588,1.00E-09,0,3
total rna,3,240,19.44215329,8,8,8,8,4,17,1,40,0,0,531,309,692,588,1.00E-09,0,3
total rna,3,240,19.44215329,8,8,8,8,4,21,1,40,0,0,531,309,692,588,1.00E-09,0,3
total rna,4,400,19.44215329,10,10,10,10,3,15,1,40,0,0,531,309,692,588,1.00E-09,0.736921305,3
total rna,4,240,19.44215329,9,9,9,9,4,18,1,40,0,0,531,309,692,588,1.00E-09,2.358148176,3
total rna,4,320,19.44215329,7,7,7,7,4,24,1,40,0,0,531,309,692,588,1.00E-09,2.505532437,3
total rna,2,240,38.88430659,10,10,10,10,3,15,1,40,0,0,531,309,692,588,1.00E-09,3.389838003,3
total rna,4,240,19.44215329,2.5,1.5,3.1,2.9,4,31,1,40,0,0,531,309,692,588,1.00E-09,3.831990786,3
total rna,4,400,19.44215329,5,5,5,5,4,18,1,40,0,0,531,309,692,588,1.00E-09,4.421527829,3
total rna,4,240,38.88430659,6,6,6,6,5,15,1,40,0,0,531,309,692,588,1.00E-09,5.011064873,3
total rna,2,400,19.44215329,6,6,6,6,5,15,1,40,0,0,531,309,692,588,1.00E-09,5.158449134,3
total rna,4,240,19.44215329,6,6,6,6,3,35,1,40,0,0,531,309,692,588,1.00E-09,5.158449134,3
total rna,"(3,1,2,3,4)",320,29.16322994,8,8,8,8,4,25,1,40,0,0,531,309,692,588,1.00E-09,"(5.158449134, 4.274143568, 5.453217656, 5.747986178, 4.863680612)",3
total rna,4,240,19.44215329,3.8,2.2,4.6,4.4,4,31,1,40,0,0,531,309,692,588,1.00E-09,5.453217656,3
total rna,4,240,19.44215329,5,5,5,5,4,32,1,40,0,0,531,309,692,588,1.00E-09,5.453217656,3
total rna,2,400,38.88430659,6,6,6,6,3,35,1,40,0,0,531,309,692,588,1.00E-09,5.600601917,3
total rna,3,240,19.44215329,8,8,8,8,4,27,1,40,0,0,531,309,692,588,1.00E-09,5.895370439,3
total rna,4,400,19.44215329,9,9,9,9,4,32,1,40,0,0,531,309,692,588,1.00E-09,6.337523222,3
total rna,4,240,19.44215329,5,2.9,6.1,5.9,4,31,1,40,0,0,531,309,692,588,1.00E-09,6.927060266,3
total rna,"(1,2,3,4,4)",240,19.44215329,10,10,10,10,5,35,1,40,0,0,531,309,692,588,1.00E-09,"(2.652916698,5.747986178,5.453217656,8.253518615,6.92706026616124)",3
total rna,"(1,2,3,4,4)",400,38.88430659,10,10,10,10,5,35,1,40,0,0,531,309,692,588,1.00E-09,"(7.369213049,7.369213049,5.305833395,7.958750093,7.51659731008985)",3
total rna,3,240,19.44215329,8,8,8,8,4,39,1,40,0,0,531,309,692,588,1.00E-09,7.663981571,3
total rna,3,240,19.44215329,8,8,8,8,4,43,1,40,0,0,531,309,692,588,1.00E-09,7.663981571,3
total rna,4,240,19.44215329,8.1,4.8,10.6,9,4,31,1,40,0,0,531,309,692,588,1.00E-09,8.400902876,3
total rna,3,240,19.44215329,8,8,8,8,4,35,1,40,0,0,531,309,692,588,1.00E-09,8.548287137,3
total rna,2,240,38.88430659,6,6,6,6,5,35,1,40,0,0,531,309,692,588,1.00E-09,10.61166679,3
total rna,"(3,1,2,3,4,0.5,1,1.5,2,2.5,3,3.5,4,0.5,1,1.5,2,0.5,1,1.5,2,2.5)",240,19.44215329,8,8,8,8,4,31,1,40,0,0,531,309,692,588,1.00E-09,"(10.6116667907151,3.389838003,3.684606525,5.600601917,4.863680612,1.621226871,7.221828788,8.400902876,7.51659731,7.663981571,8.253518615,10.46428253,7.663981571,4.274143568,6.0427547,8.548287137,9.874745486,3.242453742,7.51659731,7.369213049,7.51659731,7.074444527)",3
