NTP total (M),Mg (M),RNA after 1h (uM)
0.02,0.014,5.70548159
0.02,0.022,22.14500481
0.02,0.03,22.33841097
0.02,0.038,20.35599788
0.02,0.046,17.59996016
0.02,0.054,15.9076563
0.02,0.062,12.08788472
0.02,0.07,8.799980079
0.03,0.014,1.30549155
0.03,0.022,3.529662339
0.03,0.03,19.53402171
0.03,0.038,25.04609715
0.03,0.046,23.98236329
0.03,0.054,20.98456788
0.03,0.062,15.85930476
0.03,0.07,9.767010857
0.04,0.014,0.43516385
0.04,0.022,0.483515389
0.04,0.03,1.837358478
0.04,0.038,5.415372356
0.04,0.046,13.53843089
0.04,0.054,18.42193632
0.04,0.062,14.21535244
0.04,0.07,9.331847007
0.05,0.014,0.386812311
0.05,0.022,0.918679239
0.05,0.03,1.063733856
0.05,0.038,1.450546167
0.05,0.046,1.934061556
0.05,0.054,3.529662339
0.05,0.062,3.626365417
0.05,0.07,3.191201567
0.06,0.014,1.208788472
0.06,0.022,1.353843089
0.06,0.03,1.112085395
0.06,0.038,1.402194628
0.06,0.046,1.498897706
0.06,0.054,1.789006939
0.06,0.062,2.17581925
0.06,0.07,2.465928484
