Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),RNA yield (uM),RNA St Dev (uM)
total rna,1,200,24.48,5,5,5,5,0,14,2,40,1,1,130,230,180,180,1.00E-09,5.70548159,1
total rna,1,200,24.48,5,5,5,5,0,22,2,40,1,1,130,230,180,180,1.00E-09,22.14500481,1
total rna,1,200,24.48,5,5,5,5,0,30,2,40,1,1,130,230,180,180,1.00E-09,22.33841097,1
total rna,1,200,24.48,5,5,5,5,0,38,2,40,1,1,130,230,180,180,1.00E-09,20.35599788,1
total rna,1,200,24.48,5,5,5,5,0,46,2,40,1,1,130,230,180,180,1.00E-09,17.59996016,1
total rna,1,200,24.48,5,5,5,5,0,54,2,40,1,1,130,230,180,180,1.00E-09,15.9076563,1
total rna,1,200,24.48,5,5,5,5,0,62,2,40,1,1,130,230,180,180,1.00E-09,12.08788472,1
total rna,1,200,24.48,5,5,5,5,0,70,2,40,1,1,130,230,180,180,1.00E-09,8.799980079,1
total rna,1,200,24.48,7.5,7.5,7.5,7.5,0,14,2,40,1,1,130,230,180,180,1.00E-09,1.30549155,1
total rna,1,200,24.48,7.5,7.5,7.5,7.5,0,22,2,40,1,1,130,230,180,180,1.00E-09,3.529662339,1
total rna,1,200,24.48,7.5,7.5,7.5,7.5,0,30,2,40,1,1,130,230,180,180,1.00E-09,19.53402171,1
total rna,1,200,24.48,7.5,7.5,7.5,7.5,0,38,2,40,1,1,130,230,180,180,1.00E-09,25.04609715,1
total rna,1,200,24.48,7.5,7.5,7.5,7.5,0,46,2,40,1,1,130,230,180,180,1.00E-09,23.98236329,1
total rna,1,200,24.48,7.5,7.5,7.5,7.5,0,54,2,40,1,1,130,230,180,180,1.00E-09,20.98456788,1
total rna,1,200,24.48,7.5,7.5,7.5,7.5,0,62,2,40,1,1,130,230,180,180,1.00E-09,15.85930476,1
total rna,1,200,24.48,7.5,7.5,7.5,7.5,0,70,2,40,1,1,130,230,180,180,1.00E-09,9.767010857,1
total rna,1,200,24.48,10,10,10,10,0,14,2,40,1,1,130,230,180,180,1.00E-09,0.43516385,1
total rna,1,200,24.48,10,10,10,10,0,22,2,40,1,1,130,230,180,180,1.00E-09,0.483515389,1
total rna,1,200,24.48,10,10,10,10,0,30,2,40,1,1,130,230,180,180,1.00E-09,1.837358478,1
total rna,1,200,24.48,10,10,10,10,0,38,2,40,1,1,130,230,180,180,1.00E-09,5.415372356,1
total rna,1,200,24.48,10,10,10,10,0,46,2,40,1,1,130,230,180,180,1.00E-09,13.53843089,1
total rna,1,200,24.48,10,10,10,10,0,54,2,40,1,1,130,230,180,180,1.00E-09,18.42193632,1
total rna,1,200,24.48,10,10,10,10,0,62,2,40,1,1,130,230,180,180,1.00E-09,14.21535244,1
total rna,1,200,24.48,10,10,10,10,0,70,2,40,1,1,130,230,180,180,1.00E-09,9.331847007,1
total rna,1,200,24.48,12.5,12.5,12.5,12.5,0,14,2,40,1,1,130,230,180,180,1.00E-09,0.386812311,1
total rna,1,200,24.48,12.5,12.5,12.5,12.5,0,22,2,40,1,1,130,230,180,180,1.00E-09,0.918679239,1
total rna,1,200,24.48,12.5,12.5,12.5,12.5,0,30,2,40,1,1,130,230,180,180,1.00E-09,1.063733856,1
