Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),RNA yield (uM),RNA St Dev (uM)
total rna,1,200,24.48,5,5,5,5,0,14,2,40,1,1,130,230,180,180,1.00E-09,5.70548159,1
total rna,1,200,24.48,5,5,5,5,0,22,2,40,1,1,130,230,180,180,1.00E-09,22.14500481,1
total rna,1,200,24.48,5,5,5,5,0,30,2,40,1,1,130,230,180,180,1.00E-09,22.33841097,1
total rna,1,200,24.48,5,5,5,5,0,38,2,40,1,1,130,230,180,180,1.00E-09,20.35599788,1
total rna,1,200,24.48,5,5,5,5,0,46,2,40,1,1,130,230,180,180,1.00E-09,17.59996016,1
total rna,1,200,24.48,5,5,5,5,0,54,2,40,1,1,130,230,180,180,1.00E-09,15.9076563,1
total rna,1,200,24.48,5,5,5,5,0,62,2,40,1,1,130,230,180,180,1.00E-09,12.08788472,1
total rna,1,200,24.48,5,5,5,5,0,70,2,40,1,1,130,230,180,180,1.00E-09,8.799980079,1
total rna,1,200,24.48,7.5,7.5,7.5,7.5,0,14,2,40,1,1,130,230,180,180,1.00E-09,1.30549155,1
total rna,1,200,24.48,7.5,7.5,7.5,7.5,0,22,2,40,1,1,130,230,180,180,1.00E-09,3.529662339,1
total rna,1,200,24.48,7.5,7.5,7.5,7.5,0,30,2,40,1,1,130,230,180,180,1.00E-09,19.53402171,1
total rna,1,200,24.48,7.5,7.5,7.5,7.5,0,38,2,40,1,1,130,230,180,180,1.00E-09,25.04609715,1
total rna,1,200,24.48,7.5,7.5,7.5,7.5,0,46,2,40,1,1,130,230,180,180,1.00E-09,23.98236329,1
total rna,1,200,24.48,7.5,7.5,7.5,7.5,0,54,2,40,1,1,130,230,180,180,1.00E-09,20.98456788,1
total rna,1,200,24.48,7.5,7.5,7.5,7.5,0,62,2,40,1,1,130,230,180,180,1.00E-09,15.85930476,1
total rna,1,200,24.48,7.5,7.5,7.5,7.5,0,70,2,40,1,1,130,230,180,180,1.00E-09,9.767010857,1
total rna,1,200,24.48,10,10,10,10,0,14,2,40,1,1,130,230,180,180,1.00E-09,0.43516385,1
total rna,1,200,24.48,10,10,10,10,0,22,2,40,1,1,130,230,180,180,1.00E-09,0.483515389,1
total rna,1,200,24.48,10,10,10,10,0,30,2,40,1,1,130,230,180,180,1.00E-09,1.837358478,1
total rna,1,200,24.48,10,10,10,10,0,38,2,40,1,1,130,230,180,180,1.00E-09,5.415372356,1
total rna,1,200,24.48,10,10,10,10,0,46,2,40,1,1,130,230,180,180,1.00E-09,13.53843089,1
total rna,1,200,24.48,10,10,10,10,0,54,2,40,1,1,130,230,180,180,1.00E-09,18.42193632,1
total rna,1,200,24.48,10,10,10,10,0,62,2,40,1,1,130,230,180,180,1.00E-09,14.21535244,1
total rna,1,200,24.48,10,10,10,10,0,70,2,40,1,1,130,230,180,180,1.00E-09,9.331847007,1
total rna,"(0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0)",200,24.48,7.5,7.5,7.5,7.5,0,38,2,40,1,1,130,230,180,180,1.00E-09,"(10.749784, 16.72935134, 23.91826939, 30.83844284, 31.17437359, 33.66026114, 34.53368109, 33.99619189)",5
total rna,"(0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0)",200,48.96,7.5,7.5,7.5,7.5,0,38,2,40,1,1,130,230,180,180,1.00E-09,"(14.780953, 27.14320459, 29.76346444, 33.59307499, 32.78684119, 32.71965504, 35.13835644, 35.27272874)",5
total rna,"(0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0)",300,48.96,7.5,7.5,7.5,7.5,0,38,2,40,1,1,130,230,180,180,1.00E-09,"(16.93090979, 28.48692759, 31.77904894, 31.04000129, 31.98060739, 34.80242569, 36.01177639, 36.81801019)",5
total rna,"(1.0, 2.0)",200,48.96,7.5,7.5,7.5,7.5,0,38,2,40,1,1,130,230,180,180,1.00E-09,"(33.55751686, 35.12675326)",5
