Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),RNA yield (uM),RNA St Dev (uM)
rna moles,"(1.0, 2.0)",200,48.96,7.5,7.5,7.5,7.5,0,38,2,40,1,1,130,230,180,180,1.00E-09,"(33.55751686, 35.12675326)",1
rna moles,"(1.0, 2.0, 3.0)",200,48.96,11.5,11.5,11.5,11.5,0,54,2,40,1,1,130,230,180,180,1.00E-09,"(6.397656092, 13.51957514, 28.2462552)",1
rna moles,"(1.0, 2.0, 3.0)",200,48.96,13.5,13.5,13.5,13.5,0,54,2,40,1,1,130,230,180,180,1.00E-09,"(1.689946892, 2.172788861, 3.379893784)",1
rna moles,"(1.0, 2.0, 3.0)",200,48.96,7.5,7.5,7.5,7.5,0,38,2,40,1,1,130,230,180,180,1.00E-09,"(33.79893784 ,50.5575778586, 66.1574796325)",1
rna moles,"(1.0, 2.0, 3.0)",200,48.96,7.5,7.5,7.5,7.5,0,38,2,40,1,1,130,230,180,180,1.00E-09,"(31.86756997, 63.7988482501, 81.9336106778)",1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
