Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),RNA yield (uM),RNA stdev (uM)
total rna,"(0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0)",800,102.65,8,8,8,8,8,38,1,40,1,2,315,147,280,241,1.00E-09,"(1.171641832, 13.63365041, 22.84701573, 18.00067906, 26.84124925, 27.05427504, 27.42707017, 30.62245698, 33.33853578)",1
atp,"(0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0)",800,102.65,8,8,8,8,8,38,1,40,1,2,315,147,280,241,1.00E-09,"(8.026143791, 2.91503268, 0.104575163, 4.052287582, 1.150326797, 0.14379085, 4.836601307, 2.535947712, 1.150326797)",1
gtp,"(0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0)",800,102.65,8,8,8,8,8,38,1,40,1,2,315,147,280,241,1.00E-09,"(8.013071895, 3.437908497, 1.019607843, 4.784313725, 2.039215686, 1.176470588, 5.803921569, 3.68627451, 2.405228758)",1
cap,"(0.0, 0.5, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0)",800,102.65,8,8,8,8,8,38,1,40,1,2,315,147,280,241,1.00E-09,"(8.026143791, 7.281045752, 7.437908497, 6.496732026, 6.14379085, 5.68627451, 6.078431373, 5.202614379, 4.653594771)",1
capping fraction,5,800,102.65,8,8,8,8,8,38,1,40,1,2,315,147,280,241,1.00E-09,0.37,0.2
total rna,"(0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0, 2.25, 2.5, 2.75, 3.0, 3.25, 3.5)",800,102.65,8,8,8,2,8,32,1,40,1,2,315,147,280,241,1.00E-09,"(0.062605212, 7.199599354, 15.90172379, 16.77819676, 20.2214834, 20.7223251, 21.34837722, 23.28913878, 25.48032119, 28.23495051, 32.30428928, 28.67318699, 31.86605279, 30.92697462, 28.67318699)",1
atp,"(0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0, 2.25, 2.5, 2.75, 3.0, 3.25, 3.5)",800,102.65,8,8,8,2,8,32,1,40,1,2,315,147,280,241,1.00E-09,"(7.983379501, 5.307479224, 2.0, 3.595567867, 2.189722992, 4.792243767, 3.180055402, 2.199445983, 3.479224377, 2.199445983, 3.479224377, 2.199445983, 1.484764543, 0.886426593, 0.603878116)",1
gtp,"(0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0, 2.25, 2.5, 2.75, 3.0, 3.25, 3.5)",800,102.65,8,8,8,2,8,32,1,40,1,2,315,147,280,241,1.00E-09,"(2.0, 2.515235457, 1.800554017, 2.299168975, 2.11634349, 2.980609418, 2.199445983, 2.199445983, 2.581717452, 2.59833795, 2.980609418, 2.099722992, 1.601108033, 1.202216066, 0.903047091)",1
cap,"(0.0, 0.25, 0.5, 0.75, 1.0, 1.25, 1.5, 1.75, 2.0, 2.25, 2.5, 2.75, 3.0, 3.25, 3.5)",800,102.65,8,8,8,2,8,32,1,40,1,2,315,147,280,241,1.00E-09,"(7.983379501, 8.11634349, 8.698060942, 6.587257618, 6.603878116, 5.822714681, 5.191135734, 5.108033241, 5.207756233, 4.609418283, 5.490304709, 4.709141274, 4.775623269, 4.576177285, 4.210526316)",1
capping fraction,5,800,102.65,8,8,8,2,8,32,1,40,1,2,315,147,280,241,1.00E-09,0.79,0.2
total rna,"(0, 0.5, 1.0, 1.5)",800,102.65,8,8,8,2,8,32,1,40,1,2,315,147,280,241,1.00E-09,"(0.784975448, 5.749975676, 5.664519561, 6.168710634)",1
atp,"(0, 0.5, 1.0, 1.5)",800,102.65,8,8,8,2,8,32,1,40,1,2,315,147,280,241,1.00E-09,"(8.0, 5.464342314, 5.24881141, 5.730586371)",1
gtp,"(0, 0.5, 1.0, 1.5)",800,102.65,8,8,8,2,8,32,1,40,1,2,315,147,280,241,1.00E-09,"(2.003169572, 0.0, 0.0, 0.0)",1
cap,"(0, 0.5, 1.0, 1.5)",800,102.65,8,8,8,2,8,32,1,40,1,2,315,147,280,241,1.00E-09,"(8.0, 7.036450079, 6.782884311, 7.35340729)",1
capping fraction,2,800,102.65,8,8,8,2,8,32,1,40,1,2,315,147,280,241,1.00E-09,0.79,0.2
