Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi (mM),RNA yield (uM),RNA St Dev (uM)
total rna,"(2,4,6)",2,1,10,10,10,10,0,70,0,40,1,1,2500,2500,2500,2500,1.00E-09,"(0.098906,  0.131911,  0.113879)",0.25
total rna,"(2,4,6)",4,1,10,10,10,10,0,70,0,40,1,1,2500,2500,2500,2500,1.00E-09,"(0.187977,  0.218796,  0.21508)",0.25
total rna,"(2,4,6)",8,1,10,10,10,10,0,70,0,40,1,1,2500,2500,2500,2500,1.00E-09,"(0.206009,  0.368303,  0.317921)",0.25
total rna,"(2,4,6)",16,1,10,10,10,10,0,70,0,40,1,1,2500,2500,2500,2500,1.00E-09,"(0.336609,  0.561744,  0.895074)",0.25
total rna,"(2,4,6)",16,1,10,10,10,10,0,25,0,40,1,1,2500,2500,2500,2500,1.00E-09,"(0.000743163,  0.00135518,  0.00174862)",0.25
total rna,"(2,4,6)",16,1,10,10,10,10,0,35,0,40,1,1,2500,2500,2500,2500,1.00E-09,"(0.0893217,    0.136939,    0.133332)",0.25
total rna,"(2,4,6)",16,1,10,10,10,10,0,45,0,40,1,1,2500,2500,2500,2500,1.00E-09,"(0.287101,     0.412018,    0.289069)",0.25
total rna,"(2,4,6)",16,1,10,10,10,10,0,55,0,40,1,1,2500,2500,2500,2500,1.00E-09,"(0.448083,     0.500542,    0.780321)",0.25
total rna,"(2,4,6)",16,1,10,10,10,10,0,65,0,40,1,1,2500,2500,2500,2500,1.00E-09,"(0.47322,      0.536607,    0.799993)",0.25
total rna,"(2,4,6)",16,1,10,10,10,10,0,75,0,40,1,1,2500,2500,2500,2500,1.00E-09,"(0.495078,     0.708191,    1.00546)",0.25
total rna,"(2,4,6)",16,1,10,10,10,10,0,85,0,40,1,1,2500,2500,2500,2500,1.00E-09,"(0.334423,     0.672125,    0.739884)",0.25
total rna,"(2,4,6)",16,1,10,10,10,10,0,95,0,40,1,1,2500,2500,2500,2500,1.00E-09,"(0.355844,     0.754092,    0.869938)",0.25
total rna,"(2,4,6)",16,1,10,10,10,10,0,105,0,40,1,1,2500,2500,2500,2500,1.00E-09,"(0.223495,     0.759556,    0.569394)",0.25
total rna,"(2,4,6)",16,1,10,10,10,10,0,115,0,40,1,1,2500,2500,2500,2500,1.00E-09,"(0.190381,     0.70054,     0.573765)",0.25
total rna,"(2,4,6)",16,1,10,10,10,10,0,125,0,40,1,1,2500,2500,2500,2500,1.00E-09,"(0.128305,     0.70054,    0.442619)",0.25
total rna,"(2,)",16,1,5,5,5,5,0,75,0,40,1,1,2500,2500,2500,2500,1.00E-09,0.068961133,0.25
total rna,"(2,)",16,1,10,10,10,10,0,75,0,40,1,1,2500,2500,2500,2500,1.00E-09,0.324915333,0.25
total rna,"(2,)",16,1,20,20,20,20,0,75,0,40,1,1,2500,2500,2500,2500,1.00E-09,0.008819607,0.25
total rna,"(2,)",16,1,5,5,5,5,0,140,0,40,1,1,2500,2500,2500,2500,1.00E-09,0.057157967,0.25
total rna,"(2,)",16,1,10,10,10,10,0,140,0,40,1,1,2500,2500,2500,2500,1.00E-09,0.0768299,0.25
total rna,"(2,)",16,1,20,20,20,20,0,140,0,40,1,1,2500,2500,2500,2500,1.00E-09,0.002152987,0.25
