Species,Times (hrs),T7RNAP (nM),DNA (nM),ATP (mM),UTP (mM),CTP (mM),GTP (mM),Cap (mM),Mg (mM),PPiase (U/uL),Buffer (mM),DTT (mM),Spermidine (mM),NA,NU,NC,NG,Na4PPi,RNA yield (uM),RNA St Dev (uM)
ph,6,240,80,1,1,1,1,0,5.333333333,0.008,40,1,1,383,223,466,270,1.00E-09,0,0
Total RNA,6,240,80,1,1,1,1,0,5.333333333,0.008,40,1,1,383,223,466,270,1.00E-09,0,0
ph,6,240,80,2,2,2,2,0,10.66666667,0.008,40,1,1,383,223,466,270,1.00E-09,0,0
Total RNA,6,240,80,2,2,2,2,0,10.66666667,0.008,40,1,1,383,223,466,270,1.00E-09,0,0
ph,6,240,80,4,4,4,4,0,21.33333333,0.008,40,1,1,383,223,466,270,1.00E-09,0,0
Total RNA,6,240,80,4,4,4,4,0,21.33333333,0.008,40,1,1,383,223,466,270,1.00E-09,0,0
ph,6,240,80,8,8,8,8,0,42.66666667,0.008,40,1,1,383,223,466,270,1.00E-09,0,0
Total RNA,6,240,80,8,8,8,8,0,42.66666667,0.008,40,1,1,383,223,466,270,1.00E-09,0,0
ph,6,240,80,16,16,16,16,0,85.33333333,0.008,40,1,1,383,223,466,270,1.00E-09,0,0
Total RNA,6,240,80,16,16,16,16,0,85.33333333,0.008,40,1,1,383,223,466,270,1.00E-09,0,0
