Species	Times (hrs)	T7RNAP (nM)	DNA (nM)	ATP (mM)	UTP (mM)	CTP (mM)	GTP (mM)	Cap (mM)	Mg (mM)	PPiase (U/uL)	Buffer (mM)	DTT (mM)	Spermidine (mM)	NA	NU	NC	NG	Na4PPi (mM)	RNA yield (uM)	RNA St Dev (uM)
total rna	4	240	9.448740588	8	8	8	8	4	32	1	40	1	1	531	309	692	588	1.00E-09	0	0.2
pH	4	240	9.448740588	8	8	8	8	4	32	1	40	1	1	531	309	692	588	1.00E-09	0	0.2
CTP	4	240	9.448740588	8	8	8	8	4	32	1	40	1	1	531	309	692	588	1.00E-09	0	0.2
shifted pH	4	60	9.448740588	8	8	8	8	4	32	1	40	1	1	531	309	692	588	1.00E-09	0	0.2
total rna	4	60	9.448740588	8	8	8	8	4	32	1	40	1	1	531	309	692	588	1.00E-09	0	0.2
pH	4	60	9.448740588	8	8	8	8	4	32	1	40	1	1	531	309	692	588	1.00E-09	0	0.2
CTP	4	60	9.448740588	8	8	8	8	4	32	1	40	1	1	531	309	692	588	1.00E-09	0	0.2
total rna	4	240	9.448740588	8	8	8	8	4	32	0	40	1	1	531	309	692	588	1.00E-09	0	0.2
pH	4	240	9.448740588	8	8	8	8	4	32	0	40	1	1	531	309	692	588	1.00E-09	0	0.2
CTP	4	240	9.448740588	8	8	8	8	4	32	0	40	1	1	531	309	692	588	1.00E-09	0	0.2
scaled total rna	4	240	9.448740588	8	8	8	8	4	32	1	40	1	1	531	309	692	588	1.00E-09	0	0.2
scaled CTP	4	240	9.448740588	8	8	8	8	4	32	1	40	1	1	531	309	692	588	1.00E-09	0	0.2
